sis_taxon_id,assessment_id,year_published
180282,1610437,2013
180283,1610507,2013
180284,1610599,2013
180285,1610697,2013
180286,1610861,2013
180287,1611159,2013
180288,1611250,2013
180289,1611321,2013
180290,1611459,2013
180292,1611778,2013
180294,1611932,2013
180295,1612001,2013
180296,1612200,2013
180297,1612286,2013
180298,1612492,2013
180299,1612714,2013
180300,1612825,2013
180301,1612845,2013
180303,1612976,2013
180305,1613126,2013
180306,1613158,2013
180307,1613274,2013
180308,1613396,2013
180310,1613633,2013
180312,1613753,2013
180313,1613882,2013
180314,1613937,2013
180315,1614031,2013
180316,1614133,2013
180317,1614221,2013
180318,1614313,2013
180319,1614477,2013
180320,1614574,2013
180321,1614664,2013
180322,1614821,2013
180323,1614893,2013
180324,1615023,2013
180325,1615261,2013
180328,1615875,2013
180329,1615992,2013
180331,1616281,2013
180332,1616401,2013
180333,1616509,2013
180335,1616672,2013
180336,1616758,2013
180337,1616879,2013
180338,1617346,2013
180339,1617498,2013
180340,1617571,2013
180341,1617694,2013
180343,1617892,2013
180344,1617973,2013
180345,1618043,2013
180346,1618063,2013
180347,1618186,2013
180349,1618388,2013
180350,1618480,2013
180352,1618704,2013
180355,1619562,2013
180356,1619690,2013
180357,1619801,2013
180358,1619923,2013
180361,1620223,2013
180363,1620530,2013
180364,1620714,2013
180365,1620818,2013
180366,1620894,2013
180367,1620995,2013
180368,1621102,2013
180369,1621218,2013
180370,1621348,2013
180371,1621448,2013
180372,1621762,2013
180373,1621878,2013
180375,1622259,2013
180376,1622657,2013
180377,1622812,2013
180378,1622967,2013
180379,1622992,2013
180380,1623049,2013
180381,1623312,2013
180382,1623458,2013
180383,1623519,2013
180385,1623664,2013
180386,1623976,2013
180387,1624294,2013
180388,1624483,2013
180389,1624628,2013
180390,1624768,2013
180391,1624896,2013
180393,1625066,2013
180394,1625185,2013
180395,1625287,2013
180399,1625760,2013
180400,1625901,2013
180403,1626551,2013
180405,1626776,2013
180406,1626867,2013
180407,1627009,2013
180409,1627176,2013
180410,1627239,2013
180411,1627333,2013
180413,1627724,2013
180414,1627956,2013
180415,1628274,2013
180418,1628531,2013
180420,1628703,2013
180421,1628832,2013
180422,1629230,2013
180423,1629262,2013
180424,1629389,2013
180427,1629676,2013
180428,1629770,2013
180431,1630017,2013
180432,1630142,2013
180434,1630281,2013
180435,1630342,2013
180436,1630411,2013
180437,1630561,2013
180439,1630849,2013
180440,1630988,2013
180441,1631154,2013
180443,1631412,2013
180445,1631680,2013
180446,1631754,2013
180447,1631836,2013
180448,1631928,2013
180450,1632130,2013
180451,1632202,2013
180452,1632397,2013
180453,1632714,2013
180454,1632821,2013
180455,1632895,2013
180456,1633140,2013
180458,1633420,2013
180459,1633542,2013
180460,1633616,2013
180462,1633755,2013
180464,1633843,2013
180465,1633923,2013
180466,1633977,2013
180467,1634060,2013
180468,1634144,2013
180469,1634421,2013
180470,1634683,2013
180471,1634787,2013
180473,1635006,2013
180474,1635069,2013
180475,1635173,2013
180476,1635261,2013
180477,1635468,2013
180478,1635741,2013
180479,1635863,2013
180480,1635952,2013
180481,1636021,2013
180482,1636313,2013
180483,1636385,2013
180484,1636555,2013
180487,1636912,2013
180488,1637056,2013
180490,1637463,2013
180491,1637547,2013
180494,1638255,2013
180495,1638451,2013
180496,1638582,2013
180497,1638645,2013
180498,1638916,2013
180499,1639047,2013
180500,1639189,2013
180504,1639814,2013
180505,1640119,2013
180506,1640184,2013
180508,1640411,2013
180509,1640603,2013
180510,1640867,2013
180511,1641013,2013
180512,1641229,2013
180513,1641548,2013
180514,1641636,2013
180515,1641841,2013
180517,1642223,2013
180518,1642310,2013
