query,syn_id,syn_name,valid_aphia_id,valid_sciname,error
127036,316970,Cerna gigas,127036,Epinephelus marginatus,NA
127036,713276,Cernua gigas,127036,Epinephelus marginatus,NA
127036,304699,Epinephelus brachysoma,127036,Epinephelus marginatus,NA
127036,304721,Epinephelus gigas,127036,Epinephelus marginatus,NA
127036,1035085,Epinephelus guaza,127036,Epinephelus marginatus,NA
127036,309140,Holocentrus gigas,127036,Epinephelus marginatus,NA
127036,883341,Mycteroperca marginata,127036,Epinephelus marginatus,NA
127036,716780,Perca gigas,127036,Epinephelus marginatus,NA
127036,401341,Serranus aspersus,127036,Epinephelus marginatus,NA
127036,304848,Serranus cernioides,127036,Epinephelus marginatus,NA
127036,304889,Serranus fimbriatus,127036,Epinephelus marginatus,NA
127036,304903,Serranus gigas,127036,Epinephelus marginatus,NA
127036,304952,Serranus marginatus,127036,Epinephelus marginatus,NA
127096,318276,Gymnelichthys antarcticus,127096,Gymnelus viridis,NA
127096,313499,Gymnelis bilabrus,127096,Gymnelus viridis,NA
127096,402533,Gymnelis stigma,127096,Gymnelus viridis,NA
127096,298255,Gymnelis viridis,127096,Gymnelus viridis,NA
127096,314518,Gymnelopsis stigma,127096,Gymnelus viridis,NA
127096,254586,Gymnelus barsukovi,127096,Gymnelus viridis,NA
127096,254587,Gymnelus bilabrus,127096,Gymnelus viridis,NA
127096,305479,Gymnelus pictus,127096,Gymnelus viridis,NA
127096,319776,Ophidium stigma,127096,Gymnelus viridis,NA
127096,319777,Ophidium unernak,127096,Gymnelus viridis,NA
127096,319779,Ophidium viride,127096,Gymnelus viridis,NA
135180,1451203,Balanophyllia europaea,135180,Balanophyllia (Balanophyllia) europaea,NA
135180,510195,Caryophyllia europaea,135180,Balanophyllia (Balanophyllia) europaea,NA
135180,510196,Desmophyllum stellaria,135180,Balanophyllia (Balanophyllia) europaea,NA
151498,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
158074,305913,Coregonus canadensis,158074,Coregonus huntsmani,NA
158833,308639,Paralichthys oblongus,158833,Hippoglossina oblonga,NA
158833,305752,Pleuronectes oblongus,158833,Hippoglossina oblonga,NA
159252,1621411,Astroscopus y-graecum,159252,Astroscopus ygraecum,NA
159252,1620218,Uranoscopus y graecum,159252,Astroscopus ygraecum,NA
159252,1578197,Uranoscopus ygraecum,159252,Astroscopus ygraecum,NA
159252,305472,Uranoscopus y-graecum,159252,Astroscopus ygraecum,NA
159845,304080,Howella simplex,159845,Bathysphyraenops simplex,NA
212265,310813,Harengula spilura,212265,Herklotsichthys spilura,NA
212265,400033,Harengula spilurus,212265,Herklotsichthys spilura,NA
212265,1621413,Herklotsichthys spilurus,212265,Herklotsichthys spilura,NA
212284,323211,Stolephorus insularis oceanicus,212284,Stolephorus insularis,NA
215515,1054861,Conus (Cylinder) archiepiscopus,215515,Conus archiepiscopus,NA
215515,1550280,Conus (Cylinder) peterstimpsoni,215515,Conus archiepiscopus,NA
215515,843264,Conus (Cylinder) priscai,215515,Conus archiepiscopus,NA
215515,843275,Conus (Darioconus) biancae,215515,Conus archiepiscopus,NA
215515,1668851,Conus archiepiscopus multilineatus,215515,Conus archiepiscopus,NA
215515,553037,Conus biancae,215515,Conus archiepiscopus,NA
215515,429068,Conus communis,215515,Conus archiepiscopus,NA
215515,215523,Conus euetrios,215515,Conus archiepiscopus,NA
215515,429118,Conus eumitus,215515,Conus archiepiscopus,NA
215515,429937,Conus panniculus,215515,Conus archiepiscopus,NA
215515,1331670,Conus pavillardae,215515,Conus archiepiscopus,NA
215515,723022,Conus priscai,215515,Conus archiepiscopus,NA
215515,429119,Conus pyramidalis,215515,Conus archiepiscopus,NA
215515,429120,Conus sirventi,215515,Conus archiepiscopus,NA
215515,429121,Conus suzannae,215515,Conus archiepiscopus,NA
215515,428488,Conus textile archiepiscopus,215515,Conus archiepiscopus,NA
215515,428885,Conus textile var. euetrios,215515,Conus archiepiscopus,NA
215515,429205,Conus textile var. ponderosa,215515,Conus archiepiscopus,NA
215515,1333946,Cylinder archiepiscopus,215515,Conus archiepiscopus,NA
215515,1508360,Cylinder archiepiscopus sirventi,215515,Conus archiepiscopus,NA
215515,714496,Cylinder biancae,215515,Conus archiepiscopus,NA
215515,1508231,Cylinder eumitis,215515,Conus archiepiscopus,NA
215515,1550279,Cylinder peterstimpsoni,215515,Conus archiepiscopus,NA
215515,714493,Cylinder priscai,215515,Conus archiepiscopus,NA
215515,1508233,Cylinder suzannae,215515,Conus archiepiscopus,NA
215515,1440338,Cylindrus textile f. archiepiscopus,215515,Conus archiepiscopus,NA
215515,1440340,Cylindrus textile f. euetrios,215515,Conus archiepiscopus,NA
215515,751858,Darioconus biancae,215515,Conus archiepiscopus,NA
215600,305570,Arnoglossus macrolepis,215600,Citharoides macrolepis,NA
215600,219789,Paracitharus macrolepis,215600,Citharoides macrolepis,NA
217434,316932,Cephaloptera eregoodootenkee,217434,Mobula eregoodootenkee,NA
217434,712978,Dicerobatis eregoodoo,217434,Mobula eregoodootenkee,NA
217434,298800,Mobula eregoodoo,217434,Mobula eregoodootenkee,NA
217570,299724,Dalophis orientalis,217570,Lamnostoma orientale,NA
217570,399935,Lamnastoma orientalis,217570,Lamnostoma orientale,NA
217570,399936,Lamnosoma orientalis,217570,Lamnostoma orientale,NA
217570,1621414,Lamnostoma orientalis,217570,Lamnostoma orientale,NA
217570,310654,Lamnostoma pictum,217570,Lamnostoma orientale,NA
217570,399937,Lamnostomus orientalis,217570,Lamnostoma orientale,NA
217570,313147,Ophichthys orientalis,217570,Lamnostoma orientale,NA
217570,315677,Sphagebranchus orientalis,217570,Lamnostoma orientale,NA
218105,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
218168,401265,Aethaloperca rogan,218168,Aethaloperca rogaa,NA
218168,401264,Aethaloperca rogga,218168,Aethaloperca rogaa,NA
218168,401266,Aethaloperca rogoa,218168,Aethaloperca rogaa,NA
218168,401261,Aetheloperca rogaa,218168,Aethaloperca rogaa,NA
218168,401263,Aetholoperca rogaa,218168,Aethaloperca rogaa,NA
218168,401262,Athaloperca rogae,218168,Aethaloperca rogaa,NA
218168,218178,Cephalopholis rogaa,218168,Aethaloperca rogaa,NA
