iucn_sciname,worms_valid_sciname,sis_taxon_id,iucn_assessment_id,aphia_id,aquax,notes
vanderhorstia bella,vanderhorstia bella,193008,2183986,277372,No SDM,NA
pleurosicya fringilla,pleurosicya fringilla,193009,2184082,219545,SDM,NA
eviota herrei,eviota herrei,193011,2184299,278588,SDM,NA
cryptocentrus cyanotaenia,cryptocentrus cyanotaenia,193012,2184397,278327,No SDM,NA
priolepis limbatosquamis,priolepis limbatosquamis,193014,2184591,276771,No SDM,NA
gobiodon quinquestrigatus,gobiodon quinquestrigatus,193015,2184672,276933,SDM,NA
trimma randalli,trimma randalli,193016,2184817,398663,No SDM,NA
paragobiodon lacunicolus,paragobiodon lacunicolus,193017,2184874,219536,SDM,NA
oxyurichthys takagi,oxyurichthys takagi,193018,2185033,273466,No SDM,NA
kelloggella cardinalis,kelloggella cardinalis,193019,2185103,279212,SDM,NA
trimma hayashii,trimma hayashii,193020,2185241,278502,SDM,NA
oplopomops diacanthus,oplopomops diacanthus,193021,2185336,278262,SDM,NA
trimma hoesei,trimma hoesei,193022,2185457,219581,SDM,NA
lubricogobius exiguus,lubricogobius exiguus,193023,2185518,277935,SDM,NA
valenciennea helsdingenii,valenciennea helsdingenii,193024,2185632,219594,SDM,NA
eviota queenslandica,eviota queenslandica,193025,2185790,278604,SDM,NA
eviota cometa,eviota cometa,193027,2186047,278583,SDM,NA
pleurosicya micheli,pleurosicya micheli,193028,2186127,219544,SDM,NA
cabillus caudimacula,cabillus caudimacula,193029,2186276,278987,No SDM,NA
eviota guttata,eviota guttata,193030,2186365,219452,SDM,NA
palutrus scapulopunctatus,palutrus scapulopunctatus,193031,2186546,279177,SDM,NA
trimma flavatrum,trimma flavatrum,193032,2186642,278497,SDM,NA
amblyeleotris arcupinna,amblyeleotris arcupinna,193033,2186753,278959,SDM,NA
callogobius hasseltii,callogobius hasseltii,193034,2186850,278878,SDM,NA
eviota punctulata,eviota punctulata,193035,2187038,278603,SDM,NA
priolepis psygmophilia,priolepis psygmophilia,193036,2187170,276775,SDM,NA
gobiopsis exigua,gobiopsis exigua,193037,2187245,277787,No SDM,NA
valenciennea decora,valenciennea decora,193038,2187320,277029,SDM,NA
pleurosicya plicata,pleurosicya plicata,193039,2187430,219541,SDM,NA
trimma stobbsi,trimma stobbsi,193040,2187549,278514,SDM,NA
trimmatom nanus,trimmatom nanus,193041,2187642,219592,SDM,NA
eviota sebreei,eviota sebreei,193042,2187748,219461,SDM,NA
pleurosicya muscarum,pleurosicya muscarum,193043,2187900,219546,SDM,NA
amblyeleotris marquesas,amblyeleotris marquesas,193044,2188022,278974,No SDM,NA
callogobius bauchotae,callogobius bauchotae,193046,2188196,278874,No SDM,NA
istigobius goldmanni,istigobius goldmanni,193047,2188282,278034,SDM,NA
gnatholepis anjerensis,gnatholepis anjerensis,193048,2188454,219475,SDM,NA
oplopomus caninoides,oplopomus caninoides,193049,2188741,277728,SDM,NA
gobiodon brochus,gobiodon brochus,193050,2188830,276925,No SDM,NA
stonogobiops yasha,stonogobiops yasha,193051,2188949,279110,No SDM,NA
kelloggella tricuspidata,kelloggella tricuspidata,193052,2189059,279215,No SDM,NA
istigobius nigroocellatus,istigobius nigroocellatus,193053,2189133,278037,SDM,NA
asterropteryx striata,asterropteryx striata,193054,2189280,277499,SDM,NA
ctenogobiops pomastictus,ctenogobiops pomastictus,193056,2189450,278352,SDM,NA
stenogobius fehlmanni,stenogobius fehlmanni,193057,2189611,277771,No SDM,NA
callogobius maculipinnis,callogobius maculipinnis,193058,2189728,219408,SDM,NA
trimma macrophthalmum,trimma macrophthalmum,193059,2189921,312023,SDM,NA
eviota prasina,eviota prasina,193060,2190043,219463,SDM,NA
tomiyamichthys lanceolatus,tomiyamichthys lanceolatus,193061,2190050,398653,No SDM,NA
fusigobius pallidus,fusigobius pallidus,193062,2190156,278770,No SDM,NA
valenciennea muralis,valenciennea muralis,193063,2190268,277033,SDM,NA
amblyeleotris guttata,amblyeleotris guttata,193064,2190467,278967,SDM,NA
stonogobiops medon,stonogobiops medon,193065,2190649,279107,No SDM,NA
trimma anaima,trimma anaima,193066,2190733,278485,SDM,NA
priolepis nocturna,priolepis nocturna,193067,2190816,219551,SDM,NA
valenciennea puellaris,valenciennea puellaris,193068,2190891,219595,SDM,NA
feia dabra,feia dabra,193069,2191140,279066,No SDM,NA
amblyeleotris bellicauda,amblyeleotris bellicauda,193070,2191231,278960,No SDM,NA
eviota susanae,eviota susanae,193071,2191317,278612,No SDM,NA
