sciname,aphia_id
Clupeoides borneensis,280224
Coryphaenoides murrayi,272343
Cyclothone alba,127283
Dascyllus aruanus,212843
Diplectrum radiale,276184
Electrona risso,126600
Epinephelus stoliczkae,218225
Eutaeniophorus festivus,126409
Gastropsetta frontalis,158820
Gonorynchus gonorynchus,221403
Haemulon aurolineatum,158807
Hemigrammopetersius barnardi,1525332
Hippocampus guttulatus,154776
Hyporhamphus snyderi,272198
Jordanella floridae,281204
Ladislavia taczanowskii,1020663
Lepisosteus osseus,157872
Lipocheilus carnolabrum,218471
Lyconodes argenteus,217743
Melichthys niger,219881
Monolene antillarum,159209
Nandus nandus,281633
Neogobius bathybius,NA
Notropis longirostris,1060178
Oplopomops diacanthus,278262
Pagothenia borchgrevinki,234801
Paramphilius firestonei,1014664
Mentodus facilis,158724
Phractura ansorgii,1018784
Myzopsetta proboscidea,319505
Amphiprion biaculeatus,1605249
Cetopsis gobioides,1016277
Ptychidio jordani,1015865
Orbiraja powelli,1042877
Glaucostegus typus,280875
Salmostoma bacaila,282655
Scopelogadus beanii,127278
Serrasalmus rhombeus,1013571
Speoplatyrhinus poulsoni,1012894
Stigmatogobius borneensis,278614
Taaningichthys bathyphilus,126631
Tiaroga cobitis,NA
Trachyscorpia eschmeyeri,274872
Ulvicola sanctaerosae,322270
Winteria telescopa,283164
Epixanthus dentatus,209156
Achelous asper,557879
Puerulus carinatus,220233
Heptacarpus futilirostris,515250
Heterocarpus tricarinatus,210443
Daphnia pusilla,1303025
Aristeus antillensis,158327
Nupalirus vericeli,382885
Octopus salutii,140604
Uroteuthis (Photololigo) edulis,NA
Arca pacifica,504372
Spondylus gaederopus,141549
Iphigenia brasiliensis,420905
Vasticardium angulatum,381317
Solen kempi,413503
Sunetta concinna,507902
Cochlis vittata,886581
Nerita albicilla,216254
Hexaplex cichoreum,405870
Conus suratensis,428375
Hanleya hanleyi,140082
Rhopilema nomadica,232032
Clypeaster rotundus,513196
