group,sis_taxon_id,assessment_id,year_published
birds,22708046,280904533,2025
birds,103771124,280904719,2025
birds,22691653,280904884,2025
birds,22708037,280905071,2025
birds,22697211,280905252,2025
birds,103774800,280906704,2025
birds,22734588,280906971,2025
birds,22695673,280907142,2025
birds,103804493,280907559,2025
birds,22680317,280907776,2025
birds,22707443,280908243,2025
birds,22706931,280908436,2025
birds,22714611,280908686,2025
birds,22689012,280908856,2025
birds,22716148,280909193,2025
birds,22688504,280909370,2025
birds,22683893,280910839,2025
birds,22707957,280911076,2025
birds,22713590,280911307,2025
birds,22696172,280911655,2025
birds,22707436,280911825,2025
birds,22736108,280911992,2025
birds,22713581,280912501,2025
birds,103888967,280912682,2025
birds,103728215,280912915,2025
birds,22694116,280913121,2025
birds,22698724,280913329,2025
birds,22703842,280913552,2025
birds,103821389,280913702,2025
birds,22726376,280914529,2025
birds,22727909,280914772,2025
birds,22705440,280914959,2025
birds,22725405,280915209,2025
birds,22714654,280915396,2025
birds,22691605,280915819,2025
birds,22734089,280916002,2025
birds,22716682,280916331,2025
birds,22709519,280916500,2025
birds,22715150,280916686,2025
birds,22694148,280916881,2025
birds,22708996,280917171,2025
birds,22690561,280917350,2025
birds,22688514,280917549,2025
birds,22692616,280917842,2025
birds,22706952,280918011,2025
birds,22735112,280918208,2025
birds,22709000,280918407,2025
birds,45479083,280918595,2025
birds,103758992,280918919,2025
birds,22713788,280919092,2025
birds,22686649,280919304,2025
birds,22720954,280919480,2025
birds,22720957,280920083,2025
birds,22724542,280920313,2025
birds,103811224,280920481,2025
birds,22680500,280920743,2025
birds,22720951,280921365,2025
birds,22718392,280921670,2025
birds,22692789,280922702,2025
birds,22707126,280923077,2025
birds,22712747,280923264,2025
birds,22693807,280923499,2025
birds,22707629,280923849,2025
birds,103869063,280924096,2025
birds,103719063,280924288,2025
birds,22679460,280924608,2025
birds,22693793,280924976,2025
birds,103694485,280925637,2025
birds,22725538,280925817,2025
birds,103715475,280926168,2025
birds,22728104,280926348,2025
birds,103895665,280926513,2025
birds,45100023,280926744,2025
birds,103892088,280927393,2025
birds,22718941,280927815,2025
birds,22696414,280927982,2025
birds,103709290,280928176,2025
birds,22710238,280928383,2025
birds,22681559,280928767,2025
birds,22684107,280928953,2025
birds,103719039,280929149,2025
birds,22720969,280929461,2025
birds,22719434,280929727,2025
birds,22735824,280929943,2025
birds,22681549,280930154,2025
birds,22679491,280930365,2025
birds,22678979,280930572,2025
birds,103894121,280930888,2025
birds,22718401,280931068,2025
birds,22681543,280931307,2025
birds,22714311,280931506,2025
birds,22707656,280931669,2025
birds,22691269,280931883,2025
birds,103708785,280932062,2025
birds,22709701,280932269,2025
birds,45447765,280932702,2025
birds,22692729,280932892,2025
birds,22695293,280933280,2025
birds,22718333,280933627,2025
birds,22694782,280933820,2025
birds,22720881,280935073,2025
birds,103891168,280935597,2025
birds,22711158,280935798,2025
birds,22730603,280935974,2025
birds,22719851,280936210,2025
birds,22711660,280936418,2025
birds,22732650,280936637,2025
birds,103889606,280936875,2025
birds,22717808,280937110,2025
birds,22716258,280937298,2025
birds,22717794,280937476,2025
birds,22720872,280937709,2025
birds,22725990,280937960,2025
birds,103824080,280938205,2025
birds,103707823,280938429,2025
birds,22709147,280938607,2025
birds,22718363,280938796,2025
birds,22680989,280939035,2025
birds,45448755,280939277,2025
birds,22696339,280939449,2025
birds,22726548,280939670,2025
birds,22715284,280939958,2025
birds,22684049,280940326,2025
